time,open,high,low,close,tick_volume,spread,real_volume
2023-06-23,30062.29,31421.29,29789.69,30927.75,184401,0,0
2023-06-24,30797.99,30812.15,30258.89,30510.83,198330,258,0
2023-06-25,30453.65,31051.79,30276.62,30377.45,230486,0,0
2023-06-26,30376.96,30663.9,29922.53,30176.79,204094,0,0
2023-06-27,30099.79,30998.41,30094.77,30649.58,214093,0,0
2023-06-28,30541.29,30741.01,29825.8,30081.72,193585,0,0
2023-06-29,30034.19,30822.48,30007.16,30392.59,173389,0,0
2023-06-30,30394.21,31262.62,29425.53,30389.54,222082,0,0
2023-07-01,30434.83,30660.54,30308.75,30586.29,204640,496,0
2023-07-02,30546.51,30669.1,30112.71,30585.97,219905,26,0
2023-07-03,30586.23,31397.64,30410.45,31124.3,236093,421,0
2023-07-04,31019.94,31332.79,30610.59,30791.81,218981,0,0
2023-07-05,30710.79,30881.11,30185.18,30467.06,217570,0,0
2023-07-06,30397.92,31514.54,29816.3,30305.28,243156,0,0
2023-07-07,30223.61,30452.17,29691.03,30249.27,226615,689,0
2023-07-08,30290.31,30391.79,30001.23,30165.54,200852,553,0
2023-07-09,30102.5,30451.93,30069.17,30193.35,177644,579,0
2023-07-10,30157.95,31059.53,29947.78,30781.44,189413,0,0
2023-07-11,30726.43,30806.31,30187.86,30564.76,185319,0,0
2023-07-12,30512.21,30970.15,30196.84,30328.83,186969,0,0
2023-07-13,30328.59,31847.68,30236.9,31352.16,178978,0,0
2023-07-14,31294.59,31636.29,29900.99,30198.84,213909,0,0
2023-07-15,30152.94,30397.8,30148.44,30303.39,129097,0,0
2023-07-16,30260.0,30445.13,30064.29,30273.13,210358,0,0
2023-07-17,30215.49,30372.71,29653.89,29929.63,179873,0,0
2023-07-18,29968.01,30284.31,29454.77,29774.7,172272,0,0
2023-07-19,29779.69,30187.49,29749.47,29958.93,145974,0,0
2023-07-20,29903.73,30421.61,29539.18,29730.11,166606,0,0
2023-07-21,29673.57,30061.12,29673.57,29877.26,161545,204,0
2023-07-22,29892.63,30000.73,29792.46,29827.48,151035,461,0
2023-07-23,29780.35,30347.6,29585.4,30148.25,182482,396,0
2023-07-24,30129.16,30142.44,28839.83,29134.7,183772,219,0
2023-07-25,29127.81,29365.79,29043.44,29218.79,145252,552,0
2023-07-26,29147.05,29678.04,29081.98,29588.41,163429,232,0
2023-07-27,29555.18,29660.11,29064.44,29126.61,165763,712,0
2023-07-28,29080.09,29536.25,29080.09,29325.01,146274,471,0
2023-07-29,29311.24,29400.03,29248.08,29351.98,169191,893,0
2023-07-30,29317.76,29446.65,28984.78,29276.09,149663,562,0
2023-07-31,29184.16,29524.67,29099.44,29204.24,135711,786,0
2023-08-01,29084.29,29341.56,28535.59,29208.29,139456,651,0
2023-08-02,29144.0,30031.26,28892.41,29102.54,179519,0,0
2023-08-03,28999.79,29394.09,28932.59,29280.31,135002,595,0
2023-08-04,29238.64,29313.09,28707.83,28882.28,155526,875,0
2023-08-05,28997.29,29107.8,28946.87,29038.19,144557,609,0
2023-08-06,28983.76,29125.35,28953.13,29075.12,161789,579,0
2023-08-07,29031.0,29180.97,28651.81,29161.81,102224,616,0
2023-08-08,29094.92,30000.35,29094.92,29975.26,166537,597,0
2023-08-09,29943.96,30226.29,29340.29,29469.45,153389,736,0
2023-08-10,29377.79,29710.67,29303.07,29404.67,87371,871,0
2023-08-11,29415.58,29533.48,29143.81,29382.05,123141,704,0
2023-08-12,29377.92,29471.75,29347.66,29401.59,71368,637,0
2023-08-13,29351.0,29445.4,29269.18,29402.29,69480,368,0
2023-08-14,29406.64,29666.87,29045.81,29360.76,151013,268,0
2023-08-15,29286.14,29458.99,29037.44,29165.28,123755,510,0
2023-08-16,29062.29,29222.97,28806.54,28929.3,150780,893,0
2023-08-17,28849.08,28948.76,27450.31,27577.86,184494,786,0
2023-08-18,27566.42,27680.29,24178.89,26096.95,210821,0,0
2023-08-19,26078.48,26257.27,25787.92,26040.34,164524,561,0
2023-08-20,26064.54,26292.2,25961.07,26220.92,136866,588,0
2023-08-21,26203.13,26220.72,25808.05,26112.56,172801,326,0
2023-08-22,26091.38,26243.29,25710.65,25851.86,153064,542,0
2023-08-23,25782.67,26805.23,25301.46,26580.96,164440,478,0
2023-08-24,26462.25,26611.96,25811.96,26008.8,153206,482,0
2023-08-25,25966.16,26288.15,25714.1,26041.27,146960,395,0
2023-08-26,26024.39,26105.36,25969.06,26017.32,83283,735,0
2023-08-27,25969.51,26168.62,25942.03,26079.63,99908,807,0
2023-08-28,26029.48,26237.89,25836.15,25973.34,115964,809,0
2023-08-29,25958.23,28141.58,25898.08,27593.71,132965,0,0
2023-08-30,27503.15,27778.25,26960.23,27253.44,162357,171,0
2023-08-31,27201.51,27556.43,25850.47,25963.58,142679,0,0
2023-09-01,26017.97,26130.37,25309.92,25740.15,149766,259,0
2023-09-02,25723.97,25981.45,25630.01,25842.15,114369,648,0
2023-09-03,25793.51,26125.67,25793.51,26045.85,128442,749,0
2023-09-04,25966.17,26090.23,25693.5,25824.37,107797,596,0
2023-09-05,25726.65,25880.93,25536.8,25696.26,139324,139,0
2023-09-06,25601.6,26006.66,25329.87,25656.73,134348,598,0
2023-09-07,25608.19,26008.66,25587.07,26007.31,104195,540,0
2023-09-08,25999.64,26437.73,25589.87,25889.12,130440,437,0
2023-09-09,25893.93,25934.51,25770.09,25859.01,80151,821,0
2023-09-10,25813.51,25910.1,25512.14,25813.34,105219,551,0
2023-09-11,25708.15,26002.28,24868.93,25065.5,161464,113,0
2023-09-12,24999.99,26552.15,24999.99,26076.51,170577,0,0
2023-09-13,25975.65,26404.41,25756.55,26224.15,151162,441,0
2023-09-14,26162.58,26845.45,26121.22,26574.4,118631,0,0
2023-09-15,26578.65,26686.47,26217.24,26408.22,142127,402,0
2023-09-16,26446.76,26882.19,26388.32,26533.16,133767,459,0
2023-09-17,26530.16,26618.98,26420.21,26431.84,107671,764,0
2023-09-18,26359.15,27421.52,26359.15,26768.34,168877,0,0
2023-09-19,26678.32,27490.63,26669.96,27182.62,154665,419,0
2023-09-20,27074.15,27386.9,26789.03,27071.36,176367,406,0
2023-09-21,27015.72,27242.51,26348.15,26579.32,191986,749,0
2023-09-22,26540.79,26739.65,26458.9,26531.22,131601,560,0
2023-09-23,26559.86,26635.6,26509.72,26591.0,77588,605,0
2023-09-24,26541.26,26734.91,26336.33,26497.53,57076,531,0
2023-09-25,26436.15,26519.38,25977.84,26300.52,146307,0,0
2023-09-26,26244.46,26394.36,26074.91,26143.84,108766,821,0
2023-09-27,26158.6,26829.75,26072.21,26234.91,129556,277,0
2023-09-28,26166.01,27306.38,26163.01,27094.94,142771,682,0
2023-09-29,26999.96,27239.45,26610.69,26887.06,149426,0,0
2023-09-30,26877.01,27094.02,26822.26,27063.77,113758,256,0
2023-10-01,27072.97,27287.69,26950.72,27107.33,106416,662,0
2023-10-02,27064.93,28599.93,27064.93,27831.77,181569,0,0
2023-10-03,27862.65,27873.04,27131.45,27391.7,146747,377,0
2023-10-04,27288.99,27833.65,27187.28,27656.94,143227,699,0
2023-10-05,27615.83,28119.65,27350.71,27455.92,143599,773,0
2023-10-06,27383.99,28055.43,27166.08,27985.88,143728,594,0
2023-10-07,28038.98,28146.21,27854.5,27935.55,97222,676,0
2023-10-08,27879.75,28107.43,27700.08,27919.49,124679,598,0
