time,open,high,low,close,tick_volume,spread,real_volume
2022-01-23,35277.29,36152.03,34589.45,35358.64,82881,772,0
2022-01-24,35347.13,37545.81,32909.14,36808.38,118909,652,0
2022-01-25,36753.38,37549.06,35698.58,36617.32,96991,782,0
2022-01-26,36599.82,38919.48,36315.37,36346.09,89753,782,0
2022-01-27,36425.33,37211.43,35495.59,36201.82,87575,782,0
2022-01-28,36145.53,38007.0,35909.35,37859.97,88975,662,0
2022-01-29,37713.68,38212.89,37453.28,37625.58,28261,782,0
2022-01-30,38223.68,38365.06,37335.83,37728.09,42882,667,0
2022-01-31,37770.09,38751.14,36630.1,38425.59,70255,782,0
2022-02-01,38473.59,39283.95,37982.1,38716.93,79905,779,0
2022-02-02,38848.28,38910.55,36559.95,36862.93,77773,726,0
2022-02-03,36931.6,37242.56,36263.63,36955.49,79851,775,0
2022-02-04,36864.99,40915.3,36797.13,40603.56,76033,765,0
2022-02-05,40692.56,41953.03,40587.18,41485.51,39198,0,0
2022-02-06,41692.8,42165.08,41120.14,41684.9,41842,868,0
2022-02-07,41708.83,44538.53,41486.89,44031.86,80643,751,0
2022-02-08,44067.76,45511.53,42689.91,44242.27,79522,768,0
2022-02-09,44160.75,44847.78,43130.26,44485.17,63599,888,0
2022-02-10,44475.18,45831.39,43178.68,43712.38,82925,962,0
2022-02-11,43706.88,44072.22,42030.7,42540.51,87860,962,0
2022-02-12,42173.52,42490.29,41720.5,42415.15,28848,962,0
2022-02-13,41926.52,42767.98,41865.69,42253.7,52500,794,0
2022-02-14,42253.64,42857.7,41525.69,42260.24,72293,962,0
2022-02-15,42293.74,44530.14,42278.58,43996.01,64825,838,0
2022-02-16,44007.52,44766.28,43311.59,44071.05,65039,962,0
2022-02-17,44026.29,44203.73,40058.72,40692.38,78614,962,0
2022-02-18,40631.88,40975.99,39418.32,40011.7,77875,912,0
2022-02-19,40146.76,40468.74,39645.06,39881.13,24016,761,0
2022-02-20,39934.93,40150.74,37937.67,38236.22,54508,892,0
2022-02-21,38300.46,39485.76,37065.05,37222.31,95943,679,0
2022-02-22,36948.68,38310.02,36338.13,37891.88,105820,874,0
2022-02-23,37926.9,39254.64,37387.7,37566.76,77451,705,0
2022-02-24,37556.15,39739.8,34316.25,38384.9,127365,684,0
2022-02-25,38284.9,39693.65,37741.51,39023.15,95958,874,0
2022-02-26,39382.37,40274.14,38570.31,39178.86,46084,0,0
2022-02-27,39357.04,39847.96,36976.26,37405.93,115725,0,0
2022-02-28,37490.9,41956.29,37301.43,41636.72,99845,707,0
2022-03-01,41681.99,44970.21,41663.93,43864.73,94620,787,0
2022-03-02,43782.22,45281.42,43322.87,43926.06,85981,768,0
2022-03-03,44126.76,44341.37,41774.31,42101.12,75993,895,0
2022-03-04,42408.67,42691.66,39040.94,39380.96,88573,893,0
2022-03-05,38989.45,39347.81,38570.81,39104.79,37696,934,0
2022-03-06,39276.2,39685.2,38069.73,38983.38,56278,763,0
2022-03-07,39066.14,39540.5,37144.78,37840.27,93850,697,0
